"Latitude","Longitude","County","State","pru","MAT","arid"
32.900718,-96.794101,"Dallas","TX",0,18.3,171
26.8905,-97.9371,"Kennedy","TX",0,22.6,90
25.852326,-97.417796,"Cameron","TX",0,23.1,94
26.07814,-98.144553,"Hidalgo","TX",0,23.2,77
30.268877,-97.772072,"Travis","TX",0,19.9,156
39.630097,-81.187577,"Monroe","OH",0,10.8,212
41.392576,-82.049916,"Lorain","OH",0,10,178
26.172161,-98.369925,"Hidalgo","TX",0,23.2,76
27.351319,-81.361572,"Highlands","FL",0,22.3,145
28.266278,-80.663698,"Brevard","FL",0,22.2,171
29.708689,-82.353446,"Alacua","FL",0,20.3,190
30.486856,-90.956212,"Livingston","LA",0,19.4,326
30.486856,-90.956212,"Livingston","LA",0,19.4,326
38.936136,-77.283534,"Farifax","VA",0,12.6,221
29.277137,-103.310242,"Brewster","TX",0,17.7,34
40.83589,-72.818934,"Suffolk","NY",0,10.8,259
38.780795,-77.801841,"Fauquier","VA",0,12.3,217
30.3575,-97.7234,"Travis","TX",0,19.5,160
44.517562,-76.035347,"Ontario","Canada",0,6.4,189
38.856378,-77.430525,"Fairfax","Virginia",0,12.5,217
38.912767,-76.94541,"DC","District of Columbia",0,12.9,230
38.913155,-76.943715,"DC","District of Columbia",0,12.9,230
39.758862,-82.83593,"Pickaway","OH",0,11,187
39.880827,-74.77827,"Burlington","NJ",0,11.7,256
40.712166,-74.490308,"Morris","NJ",0,10.5,270
40.437876,-81.997055,"Coshocton","OH",0,9.9,184
38.92918,-77.049118,"DC","District of Columbia",0,12.9,225
35.752634,-78.826435,"Wake","NC",0,15.2,248
35.752634,-78.826435,"Wake","NC",0,15.2,248
35.750888,-78.820394,"Wake","NC",0,15.2,248
32.009156,-96.081963,"Navarro","TX",0,18.9,186
38.812037,-83.529718,"Adams","OH",0,11.7,230
44.483831,-76.032977,"Ontario","Canada",0,6.7,193
39.135124,-86.20097,"Brown","IN",0,11.6,233
37.319448,-122.185207,"Santa Clara","CA",0,13,11
40.461303,-75.900234,"Berks","PA",0,10.3,245
26.383477,-98.236415,"Hidalgo","TX",0,22.9,81
37.362364,-122.176648,"Santa Clara","CA",0,13.6,10
34.22404,-77.871699,"New Hanover","NC",0,17.3,247
26.372453,-98.330318,"Hidalgo","TX",0,22.9,81
29.399283,-96.643119,"Lavaca","TX",0,20.2,199
27.640596,-82.737967,"Pinellas","FL",0,22.4,176
27.640596,-82.737967,"Pinellas","FL",0,22.4,176
34.373204,-98.333119,"Cotton","OK",0,16.9,107
38.913153,-76.94294,"DC","District of Columbia",0,12.9,230
34.683723,-98.407239,"vicfa","OK",0,16.3,93
40.123475,-75.127769,"Montgomery","PA",0,11.8,249
43.090536,-76.767375,"Wayne","NY",0,8.6,169
37.546098,-77.510326,"Richmond","VA",0,13.7,250
37.022565,-94.721503,"Cherokee","KY",0,14.2,147
30.231781,-97.652235,"Travis","TX",0,20.1,160
33.492048,-98.023568,"Clay","TX",0,17.7,117
34.651601,-98.627855,"Comanche","OK",0,16.5,94
32.92913,-96.473136,"Rockwall","TX",0,17.8,190
30.3575,-97.7225,"Travis","TX",0,19.5,160
30.230817,-97.653952,"Travis","TX",0,20.1,160
40.02042,-83.01922,"Franklin","OH",0,10.5,181
35.694228,-97.063363,"LIncoln","OK",0,15.7,109
34.770031,-99.028552,"Kiowa","OK",0,16.1,88
34.741026,-98.96707,"Kiowa","OK",0,15.9,95
26.12406,-80.2257,"Broward","FL",0,23.9,184
29.773309,-94.92519,"Harris","TX",0,20.3,238
33.919343,-98.519441,"Wichita","TX",0,17.5,101
25.806734,-81.098161,"Collier","FL",0,23.5,124
25.850739,-97.417166,"Cameron","TX",0,23.1,94
34.692095,-98.948203,"Kiowa","OK",0,15.9,95
41.303313,-81.395688,"Summit","OH",0,9.4,194
35.216673,-100.863408,"Gray","TX",0,14.2,48
32.987713,-96.679554,"Collin","TX",0,18.3,171
31.233463,-85.437841,"Houston","AL",0,18.9,251
41.611143,-86.722719,"LaPorte","IN",0,9.6,176
40.964296,-72.82322,"Suffolk","NY",0,10.8,259
30.701116,-85.679852,"Washington","FL",0,19.2,286
41.552187,-83.854094,"Lucas","OH",0,9.4,158
34.748171,-97.932515,"Grady","OK",0,16.1,106
44.233614,-76.52961,"Ontario","Canada",0,6.7,205
34.545745,-98.194761,"Comanche","OK",0,16.6,98
42.626262,-88.130758,"Kenosha","WI",0,8.2,120
44.019106,-73.177937,"Addison","VT",0,7.2,159
43.146519,-88.072358,"Waukesha","WI",0,8,110
44.519342,-76.696528,"Ontario","Canada",0,6,197
39.26861,-77.645391,"Loudoun","VA",0,12,207
36.21738,-98.229232,"Major","OK",0,14.8,73
40.183951,-105.17375,"Boulder","CO",0,8.5,41
35.334278,-96.165798,"Okfuskee","OK",0,15.8,151
43.14652,-88.072388,"Waukesha","WI",0,8,110
43.145896,-88.072471,"Waukesha","WI",0,8,110
41.994648,-72.126811,"Tolland","CT",0,8.3,291
44.898977,-93.196458,"Hennepin","MN",0,7.1,68
32.719395,-116.950393,"San Diego","CA",0,17.3,7
44.59859,-123.150022,"Linn","OR",0,11.4,67
40.020061,-83.018123,"Franklin","OH",0,10.5,181
43.038991,-88.02484,"Wilwaukee","WI",0,8,110
30.3575,-97.7225,"Travis","TX",0,19.5,160
42.849149,-79.551914,"Ontario","Canada",0,8.1,189
26.373056,-81.608056,"Collier","FL",0,23.1,131
26.128318,-97.958071,"Hidalgo","TX",0,23.1,86
30.193736,-97.611654,"Travis","TX",0,20.1,160
35.621504,-78.932066,"Wake","NC",0,15.4,243
29.827539,-99.671745,"Real","TX",0,18.3,97
29.827539,-99.671745,"Real","TX",0,18.3,97
36.68028,-80.97444,"Grayson","VA",0,11,224
29.827539,-99.671745,"Real","TX",0,18.3,97
30.296473,-97.70654,"Travis","TX",0,19.9,156
30.535946,-103.805265,"Jeff Davis","TX",0,15.6,31
39.583026,-76.512513,"Harford","MD",0,11.7,248
29.210462,-99.779505,"Ulvalde","TX",0,20.4,87
32.2,-98.690518,"Eastland","TX",0,17.4,116
36.716637,-76.522283,"Suffolk","VA",0,14.9,244
29.182721,-100.030785,"Ulvalde","TX",0,20.2,81
38.589376,-82.247924,"Cabell","WV",0,12,232
29.1845,-99.792251,"Ulvalde","TX",0,20.4,87
41.229991,-81.553942,"Summit","OH",0,9.6,189
43.090818,-76.767333,"Wayne","NY",0,8.6,169
29.1845,-99.792251,"Ulvalde","TX",0,20.4,87
41.171033,-74.915042,"Pike","PA",0,8.2,236
35.169827,-93.650765,"Logan","AR",0,15.1,245
41.97026,-88.072914,"DuPage","IL",0,9.2,135
38.400671,-76.411278,"Calvert","MD",0,13.7,245
31.004612,-103.711709,"Reeves","TX",0,17.9,33
30.970617,-103.727674,"Reeves","TX",0,17.3,34
38.448428,-76.455915,"Calvert","MD",0,13.7,245
34.465622,-79.35229,"Dillon","SC",0,16.7,228
29.1845,-99.792251,"Ulvalde","TX",0,20.4,87
29.1845,-99.792251,"Ulvalde","TX",0,20.4,87
35.828008,-78.344093,"Wake","NC",0,15.4,243
37.067031,-76.431966,"Hampton","VA",0,14.9,236
35.832497,-75.857892,"Dare","NC",0,16.4,277
44.436316,-75.884691,"Ontario","Canada",0,6.8,193
40.247428,-76.269625,"Lancaster","PA",0,10.5,228
29.1845,-99.792251,"Ulvalde","TX",0,20.4,87
42.010694,-71.04834,"Norfolk","MA",0,9.6,261
44.566925,-78.146785,"Ontario","Canada",0,5.7,179
31.885866,-93.372545,"Natchitoches","LA",0,18,263
36.901581,-76.200204,"Norfolk","VA",0,15.3,234
29.373386,-95.627059,"Fort Bend","TX",0,20.3,216
32.876776,-97.171401,"Tarrant","TX",0,18.1,152
33.11093,-98.598032,"Young","TX",0,17.6,110
33.177233,-98.742081,"Young","TX",0,17.7,104
44.473129,-77.307787,"Ontario","Canada",0,6.4,197
38.921122,-95.233075,"Douglas","Kansas",0,12.7,92
38.958792,-74.959479,"Cape May","NJ",0,12.6,245
38.935086,-76.680515,"Anne Arundel","MD",0,12.8,232
38.93748,-74.945039,"Cape May","NJ",0,12.6,245
38.757545,-77.098453,"Fairfax","VA",0,13.2,225
40.861893,-73.875022,"New York City","NY",0,11.5,262
29.827539,-99.671745,"Real","TX",0,18.3,97
29.179283,-99.767028,"Ulvalde","TX",0,20.4,87
29.1845,-99.792251,"Ulvalde","TX",0,20.4,87
29.179283,-99.767028,"Ulvalde","TX",0,20.4,87
29.179283,-99.767028,"Ulvalde","TX",0,20.4,87
29.179283,-99.767028,"Ulvalde","TX",0,20.4,87
31.06003,-94.275357,"Jasper","TX",0,18.6,270
31.061619,-94.274615,"Jasper","TX",0,18.6,270
32.713254,-94.117599,"Harrison","TX",0,18.1,237
32.14186,-81.29967,"Chatham","GA",0,19,191
32.125283,-94.201756,"Panola","TX",0,18.1,251
34.241047,-83.866371,"Hall","GA",0,15,306
29.1845,-99.792251,"Ulvalde","TX",0,20.4,87
29.1845,-99.792251,"Ulvalde","TX",0,20.4,87
30.213545,-91.999249,"Lafayette","LA",0,19.6,314
35.976453,-76.074,"Tyrrell","NC",0,16.1,253
38.679082,-82.180336,"Mason","WV",0,11.9,224
30.057536,-95.190299,"Harris","TX",0,20,253
33.689033,-93.116431,"Nevada","AR",0,16.7,287
39.307549,-84.094234,"Warren","OH",0,11.2,217
31.168301,-83.360037,"Cook","GA",0,19,208
40.113777,-82.954538,"Franklin","OH",0,10.6,185
30.254915,-94.175148,"Hardin","TX",0,19.5,282
38.869281,-92.434158,"Boone","MO",0,12.5,134
42.265678,-83.078574,"Ontario","Canada",0,9.5,160
38.589546,-82.251447,"Cabell","WV",0,12,232
38.589554,-82.247053,"Cabell","WV",0,12,232
39.307587,-84.094141,"Warren","OH",0,11.2,217
31.059583,-94.275934,"Jasper","TX",0,18.6,270
41.060421,-81.355066,"Portage","OH",0,9.5,188
35.817422,-81.180358,"Catawba","NC",0,14.4,274
35.464787,-80.780326,"Mecklenburg","NC",0,15.1,259
39.872796,-75.678959,"Chester","PA",0,11.3,250
32.850497,-97.488813,"Tarrant","TX",0,18,144
41.578443,-70.55864,"Barnstable","MA",0,9.9,250
41.126362,-80.203739,"Mercer","PA",0,9,198
35.964113,-75.635355,"Dare","NC",0,16.4,283
41.171215,-74.913692,"Pike","PA",0,8.2,236
30.970617,-103.727674,"Reeves","TX",0,17.3,34
41.888676,-88.002992,"DuPage","IL",0,9.2,135
30.268658,-97.771838,"Travis","TX",0,19.9,156
40.766115,-73.97371,"New York City","New York",0,12,252
30.766268,-94.462959,"Tyler","TX",0,18.8,288
42.397605,-85.385306,"Kalamazoo","MI",0,8.7,148
38.887963,-77.014621,"District of Columbia","DC",0,12.9,225
44.46889,-77.31528,"Ontario","Canada",0,6.4,197
32.722214,-97.35685,"Tarrant","TX",0,18.4,141
38.971321,-77.1995,"Montgomery","MD",0,12.6,221
38.912874,-76.942641,"District of Columbia","DC",0,12.9,230
41.813712,-71.370054,"Providence","RI",0,9.7,261
41.813712,-71.370054,"Providence","RI",0,9.7,261
40.365806,-83.098186,"Delaware","OH",0,9.9,176
38.958169,-76.210229,"Queen Anne's","MD",0,13.3,249
38.786765,-77.200183,"Fairfax","VA",0,12.8,223
35.524412,-96.724203,"Lincoln","OK",0,16,125
40.964258,-72.823216,"Suffolk","NY",0,10.8,259
30.417984,-97.758602,"Travis","TX",0,19.5,160
30.363979,-86.953059,"Escambia","FL",0,19.6,292
34.885112,-98.208539,"Cado","OK",0,16,95
42.732535,-84.555535,"Ingham","MI",0,8.1,128
40.994929,-81.686783,"Summit","OH",0,9.5,175
30.50785,-98.023819,"Travis","TX",0,18.8,145
40.418722,-74.490022,"Middlesex","NJ",0,11.3,260
39.872784,-75.678959,"Chester","PA",0,11.3,250
38.887963,-77.014621,"District of Columbia","DC",0,12.9,225
45.662374,-121.906486,"Skamania","WA",0,7.9,135
30.297819,-98.066918,"Travis","TX",0,19,155
42.011915,-83.202408,"Monroe","MI",0,9.5,156
32.279242,-111.021522,"Pima","AZ",0,19.9,22
40.987326,-81.218863,"Stark","OH",0,9.5,186
27.144262,-80.179811,"Martin","FL",0,23.2,194
