"prop.loss","pre.mass","treatment","date"
0.083333333,0.228,"c","25-Aug"
0.075268817,0.186,"m","25-Aug"
0.13215859,0.227,"m","9/6/20"
0.097560976,0.205,"m","9/6/20"
0.084577114,0.201,"c","9/6/20"
0.128342246,0.187,"m","9/6/20"
0.096296296,0.135,"c","9/6/20"
0.072727273,0.11,"c","9/6/20"
0.096638655,0.238,"c","9/6/20"
0.078947368,0.19,"c","9/15/20"
0.1,0.22,"c","9/15/20"
0.065217391,0.184,"m","9/15/20"
0.126811594,0.276,"c","9/15/20"
0.082840237,0.169,"c","6/5/21"
0.113772455,0.167,"m","6/5/21"
0.130718954,0.153,"m","6/5/21"
0.112359551,0.178,"c","6/5/21"
0.123287671,0.219,"m","6/5/21"
0.098360656,0.183,"c","6/5/21"
0.14,0.2,"m","6/5/21"
0.129277567,0.263,"m","6/5/21"
0.1,0.18,"c","6/5/21"
0.108695652,0.23,"m","6/5/21"
0.090909091,0.22,"c","6/5/21"
0.129943503,0.177,"m","6/5/21"
0.123152709,0.203,"c","6/5/21"
0.144827586,0.145,"m","6/5/21"
0.1484375,0.256,"m","6/5/21"
0.095808383,0.167,"c","6/5/21"
0.084577114,0.201,"c","6/5/21"
0.070175439,0.171,"c","6/12/21"
0.059459459,0.185,"c","6/12/21"
0.163934426,0.183,"m","6/12/21"
0.052845528,0.246,"c","6/12/21"
0.135714286,0.14,"m","6/12/21"
0.084656085,0.189,"m","6/12/21"
0.076190476,0.21,"c","6/12/21"
0.095505618,0.178,"c","6/12/21"
0.132478632,0.234,"m","6/12/21"
0.102803738,0.214,"m","6/12/21"
0.088983051,0.236,"m","6/12/21"
0.038647343,0.207,"c","6/12/21"
0.061904762,0.21,"c","6/16/21"
0.065217391,0.184,"c","6/16/21"
0.114285714,0.175,"m","6/16/21"
0.061643836,0.146,"c","6/16/21"
0.085227273,0.176,"m","6/16/21"
0.066326531,0.196,"c","6/16/21"
0.071428571,0.154,"m","6/16/21"
0.033980583,0.206,"c","6/16/21"
0.044198895,0.181,"c","6/16/21"
0.099526066,0.211,"m","6/16/21"
0.073619632,0.163,"m","6/17/21"
0.052631579,0.152,"c","6/17/21"
0.053811659,0.223,"c","6/17/21"
0.055865922,0.179,"m","6/17/21"
0.043209877,0.162,"c","6/17/21"
0.076233184,0.223,"m","6/17/21"
0.04954955,0.222,"c","6/17/21"
0.078125,0.192,"c","6/17/21"
0.073446328,0.177,"m","6/17/21"
0.058252427,0.206,"c","6/17/21"
