"ID","Treatment","time","z.mass","temp.gain"
1,"c",0,0.992332494684715,0
1,"c",30,0.992332494684715,4.3
1,"c",60,0.992332494684715,7.4
1,"c",90,0.992332494684715,10
1,"c",120,0.992332494684715,11.5
1,"c",150,0.992332494684715,12.8
1,"c",180,0.992332494684715,13.5
1,"c",210,0.992332494684715,14.2
1,"c",240,0.992332494684715,14.8
1,"c",270,0.992332494684715,15.2
1,"c",300,0.992332494684715,15.5
2,"m",0,-0.0350563509500794,0
2,"m",30,-0.0350563509500794,5.2
2,"m",60,-0.0350563509500794,8
2,"m",90,-0.0350563509500794,10.9
2,"m",120,-0.0350563509500794,12
2,"m",150,-0.0350563509500794,13.2
2,"m",180,-0.0350563509500794,14
2,"m",210,-0.0350563509500794,14.7
2,"m",240,-0.0350563509500794,15
2,"m",270,-0.0350563509500794,15.3
2,"m",300,-0.0350563509500794,15.5
3,"c",0,-1.81552049863966,0
3,"c",30,-1.81552049863966,3.4
3,"c",60,-1.81552049863966,6.7
3,"c",90,-1.81552049863966,8.1
3,"c",120,-1.81552049863966,9
3,"c",150,-1.81552049863966,9.7
3,"c",180,-1.81552049863966,10.3
3,"c",210,-1.81552049863966,10.6
3,"c",240,-1.81552049863966,10.8
3,"c",270,-1.81552049863966,10.9
3,"c",300,-1.81552049863966,11.2
4,"m",0,1.04395791223251,0
4,"m",30,1.04395791223251,3.8
4,"m",60,1.04395791223251,7.9
4,"m",90,1.04395791223251,9.9
4,"m",120,1.04395791223251,11.7
4,"m",150,1.04395791223251,13.3
4,"m",180,1.04395791223251,14.2
4,"m",210,1.04395791223251,15.1
4,"m",240,1.04395791223251,15.9
4,"m",270,1.04395791223251,16.3
4,"m",300,1.04395791223251,16.7
5,"m",0,0.446326574349658,0
5,"m",30,0.446326574349658,4
5,"m",60,0.446326574349658,7.1
5,"m",90,0.446326574349658,9.3
5,"m",120,0.446326574349658,10.9
5,"m",150,0.446326574349658,12.2
5,"m",180,0.446326574349658,13.1
5,"m",210,0.446326574349658,13.8
5,"m",240,0.446326574349658,14.8
5,"m",270,0.446326574349658,14.8
5,"m",300,0.446326574349658,15.1
6,"c",0,-0.260263245798478,0
6,"c",30,-0.260263245798478,5.5
6,"c",60,-0.260263245798478,7.7
6,"c",90,-0.260263245798478,9.8
6,"c",120,-0.260263245798478,11.4
6,"c",150,-0.260263245798478,12.3
6,"c",180,-0.260263245798478,13.1
6,"c",210,-0.260263245798478,13.5
6,"c",240,-0.260263245798478,14.1
6,"c",270,-0.260263245798478,14.1
6,"c",300,-0.260263245798478,14
7,"m",0,0.726368813035664,0
7,"m",30,0.726368813035664,4.9
7,"m",60,0.726368813035664,7.3
7,"m",90,0.726368813035664,9.7
7,"m",120,0.726368813035664,11.2
7,"m",150,0.726368813035664,12.5
7,"m",180,0.726368813035664,13.3
7,"m",210,0.726368813035664,13.9
7,"m",240,0.726368813035664,14.6
7,"m",270,0.726368813035664,14.8
7,"m",300,0.726368813035664,14.9
8,"c",0,-0.293232594362866,0
8,"c",30,-0.293232594362866,3.6
8,"c",60,-0.293232594362866,6.9
8,"c",90,-0.293232594362866,9.3
8,"c",120,-0.293232594362866,10.8
8,"c",150,-0.293232594362866,11.8
8,"c",180,-0.293232594362866,12.7
8,"c",210,-0.293232594362866,13.3
8,"c",240,-0.293232594362866,13.7
8,"c",270,-0.293232594362866,13.7
8,"c",300,-0.293232594362866,13.7
9,"c",0,-0.0350563509500794,0
9,"c",30,-0.0350563509500794,3.4
9,"c",60,-0.0350563509500794,6.3
9,"c",90,-0.0350563509500794,8.1
9,"c",120,-0.0350563509500794,9.6
9,"c",150,-0.0350563509500794,10.7
9,"c",180,-0.0350563509500794,11.6
9,"c",210,-0.0350563509500794,12.1
9,"c",240,-0.0350563509500794,12.6
9,"c",270,-0.0350563509500794,13
9,"c",300,-0.0350563509500794,13.4
10,"m",0,-0.495482562416501,0
10,"m",30,-0.495482562416501,5.6
10,"m",60,-0.495482562416501,8.3
10,"m",90,-0.495482562416501,10.7
10,"m",120,-0.495482562416501,12.1
10,"m",150,-0.495482562416501,13.4
10,"m",180,-0.495482562416501,14
10,"m",210,-0.495482562416501,14.5
10,"m",240,-0.495482562416501,15.2
10,"m",270,-0.495482562416501,16
10,"m",300,-0.495482562416501,16.6
11,"c",0,-0.130402413866355,0
11,"c",30,-0.130402413866355,2.8
11,"c",60,-0.130402413866355,4.9
11,"c",90,-0.130402413866355,6.7
11,"c",120,-0.130402413866355,7.5
11,"c",150,-0.130402413866355,8.1
11,"c",180,-0.130402413866355,8
11,"c",210,-0.130402413866355,8.2
11,"c",240,-0.130402413866355,7.7
11,"c",270,-0.130402413866355,7.9
11,"c",300,-0.130402413866355,8
12,"m",0,-0.599582247389399,0
12,"m",30,-0.599582247389399,6.1
12,"m",60,-0.599582247389399,9.3
12,"m",90,-0.599582247389399,11.2
12,"m",120,-0.599582247389399,12.6
12,"m",150,-0.599582247389399,13.6
12,"m",180,-0.599582247389399,14.4
12,"m",210,-0.599582247389399,14.8
12,"m",240,-0.599582247389399,15
12,"m",270,-0.599582247389399,15.2
12,"m",300,-0.599582247389399,15.6
13,"m",0,0.531906283218295,0
13,"m",30,0.531906283218295,4.4
13,"m",60,0.531906283218295,7.2
13,"m",90,0.531906283218295,8.6
13,"m",120,0.531906283218295,9.7
13,"m",150,0.531906283218295,10
13,"m",180,0.531906283218295,10.7
13,"m",210,0.531906283218295,11
13,"m",240,0.531906283218295,11.3
13,"m",270,0.531906283218295,11.4
13,"m",300,0.531906283218295,11.6
14,"c",0,-1.64201107470716,0
14,"c",30,-1.64201107470716,3.7
14,"c",60,-1.64201107470716,6.6
14,"c",90,-1.64201107470716,8.4
14,"c",120,-1.64201107470716,9.6
14,"c",150,-1.64201107470716,10.3
14,"c",180,-1.64201107470716,10.7
14,"c",210,-1.64201107470716,11
14,"c",240,-1.64201107470716,11.1
14,"c",270,-1.64201107470716,11.2
14,"c",300,-1.64201107470716,11.4
15,"m",0,0.300544259926098,0
15,"m",30,0.300544259926098,3.7
15,"m",60,0.300544259926098,6
15,"m",90,0.300544259926098,7.4
15,"m",120,0.300544259926098,8.7
15,"m",150,0.300544259926098,9.5
15,"m",180,0.300544259926098,10.3
15,"m",210,0.300544259926098,10.8
15,"m",240,0.300544259926098,11.1
15,"m",270,0.300544259926098,11.3
15,"m",300,0.300544259926098,11.6
16,"c",0,0.966329674170314,0
16,"c",30,0.966329674170314,2.8
16,"c",60,0.966329674170314,5.6
16,"c",90,0.966329674170314,7.4
16,"c",120,0.966329674170314,9.1
16,"c",150,0.966329674170314,10.2
16,"c",180,0.966329674170314,11.1
16,"c",210,0.966329674170314,12.1
16,"c",240,0.966329674170314,12.4
16,"c",270,0.966329674170314,12.8
16,"c",300,0.966329674170314,12.7
17,"m",0,0.120132581537732,0
17,"m",30,0.120132581537732,6.5
17,"m",60,0.120132581537732,9.1
17,"m",90,0.120132581537732,11.2
17,"m",120,0.120132581537732,12.7
17,"m",150,0.120132581537732,13.8
17,"m",180,0.120132581537732,14.6
17,"m",210,0.120132581537732,15.1
17,"m",240,0.120132581537732,15.5
17,"m",270,0.120132581537732,15.9
17,"m",300,0.120132581537732,16.1
18,"c",0,-1.77160685801158,0
18,"c",30,-1.77160685801158,1.4
18,"c",60,-1.77160685801158,2.7
18,"c",90,-1.77160685801158,3.5
18,"c",120,-1.77160685801158,3.9
18,"c",150,-1.77160685801158,4.3
18,"c",180,-1.77160685801158,4.2
18,"c",210,-1.77160685801158,4.2
18,"c",240,-1.77160685801158,4.2
18,"c",270,-1.77160685801158,4.3
18,"c",300,-1.77160685801158,4.4
19,"m",0,0.588200041012851,0
19,"m",30,0.588200041012851,3.1
19,"m",60,0.588200041012851,4.4
19,"m",90,0.588200041012851,5.3
19,"m",120,0.588200041012851,6.1
19,"m",150,0.588200041012851,6.6
19,"m",180,0.588200041012851,7.1
19,"m",210,0.588200041012851,7.4
19,"m",240,0.588200041012851,7.7
19,"m",270,0.588200041012851,7.8
19,"m",300,0.588200041012851,8
20,"c",0,0.330023797600066,0
20,"c",30,0.330023797600066,1.4
20,"c",60,0.330023797600066,2.7
20,"c",90,0.330023797600066,4
20,"c",120,0.330023797600066,4.9
20,"c",150,0.330023797600066,5.5
20,"c",180,0.330023797600066,5.8
20,"c",210,0.330023797600066,6.2
20,"c",240,0.330023797600066,6.5
20,"c",270,0.330023797600066,6.8
20,"c",300,0.330023797600066,7.1
21,"m",0,-0.427203378599852,0
21,"m",30,-0.427203378599852,3.7
21,"m",60,-0.427203378599852,6
21,"m",90,-0.427203378599852,8
21,"m",120,-0.427203378599852,9.1
21,"m",150,-0.427203378599852,10.2
21,"m",180,-0.427203378599852,10.8
21,"m",210,-0.427203378599852,11.5
21,"m",240,-0.427203378599852,12
21,"m",270,-0.427203378599852,12.3
21,"m",300,-0.427203378599852,12.6
22,"c",0,0.753574854078954,0
22,"c",30,0.753574854078954,3.3
22,"c",60,0.753574854078954,6
22,"c",90,0.753574854078954,7.8
22,"c",120,0.753574854078954,9.1
22,"c",150,0.753574854078954,9.6
22,"c",180,0.753574854078954,10.3
22,"c",210,0.753574854078954,10.8
22,"c",240,0.753574854078954,11.4
22,"c",270,0.753574854078954,11.7
22,"c",300,0.753574854078954,12
23,"m",0,0.300544259926098,0
23,"m",30,0.300544259926098,4.3
23,"m",60,0.300544259926098,6.2
