"binom","pruin.binom","repro.strag","typical.habitat","pruin.thorax","pruin.abdo","z.MAT","z.arid"
"Aeshna_canadensis",0,"f","forest",0,0,-1.26512745169612,0.0908368188511597
"Aeshna_clepsydra",0,"f","open",0,0,-0.917153255605863,0.636924200865837
"Aeshna_constricta",0,"f","open",0,0,-0.973551239149631,-0.160401063042899
"Aeshna_eremita",0,"f","forest",0,0,-1.83518645367347,-0.391215605271215
"Aeshna_interrupta",0,"f","open",0,0,-1.4962671758845,-0.543533071008643
"Aeshna_juncea",0,"f","open",0,0,-2.0238400849677,-0.576016865162925
"Aeshna_palmata",0,"f","forest",0,0,-1.24888917053107,-0.782927747936376
"Aeshna_persephone",0,"f","forest",0,0,0.153686883701866,-1.55875961368489
"Aeshna_septentrionalis",0,"f","both",0,0,-2.79869567526868,-1.11372737133227
"Aeshna_sitchensis",0,"f","both",0,0,-1.87658069055157,-0.38280430304471
"Aeshna_subarctica",0,"f","open",0,0,-1.96648325726086,-0.346552933430208
"Aeshna_tuberculifera",0,"f","forest",0,0,-1.02260370320421,0.327124168036106
"Aeshna_umbrosa",0,"f","open",0,0,-0.989249659571724,-0.0491918264661544
"Aeshna_verticalis",0,"f","both",0,0,-0.864910887971539,0.375227933014302
"Aeshna_walkeri",0,"f","forest",0,0,-0.177048715188271,-1.65041740596248
"Anax_amazili",0,"f","forest",0,0,1.31749526222007,-0.833862780472607
"Anax_concolor",0,"f","both",0,0,1.52110160140569,-0.909208079154917
"Anax_junius",0,"f","open",0,0,-0.149092305678434,-0.300009089221977
"Anax_longipes",0,"f","open",0,0,0.152311921892397,0.684344048787819
"Anax_walsinghami",0,"f","open",0,0,0.58695502392332,-1.72259463602989
"Aphylla_angustifolia",0,"p","open",0,0,1.17425809699827,0.0223807467320157
"Aphylla_protracta",0,"p","both",0,0,1.29315711764668,-1.10768096553308
"Aphylla_williamsoni",0,"p","open",0,0,0.88060636042437,1.25050189213998
"Arigomphus_cornutus",0,"p","forest",0,0,-1.24975697694202,-0.594628716344547
"Arigomphus_furcifer",0,"p","open",0,0,-0.895041305853455,0.418658960535127
"Arigomphus_lentulus",0,"p","open",0,0,0.648688951731017,0.479005285898416
"Arigomphus_maxwelli",0,"p","forest",0,0,0.822044146014045,1.49632977099218
"Arigomphus_pallidus",0,"p","forest",0,0,1.13098818158074,0.687583670291981
"Arigomphus_submedianus",0,"p","forest",0,0,0.32356512732919,0.174451415101364
"Arigomphus_villosipes",0,"p","open",0,0,-0.476894217260125,0.772680778528576
"Basiaeschna_janata",0,"f","forest",0,0,-0.613293266680742,0.537566390147311
"Boyeria_grafiana",0,"f","forest",0,0,-1.0689099713415,0.701260461019958
"Boyeria_vinosa",0,"f","both",0,0,-0.457729172948169,0.605100561405208
"Brachymesia_furcata",0,"p","both",0,0,1.14395695673276,-0.938226554721636
"Brachymesia_herbida",0,"p","open",0,0,1.36430520848151,-0.936217626988992
"Brechmorhoga_mendax",0,"f","both",0,0,0.615371824133346,-1.3775256996977
"Brechmorhoga_pertinax",0,"f","both",0,0,0.486666584337678,-1.7257772488518
"Brechmorhoga_praecox",0,"f","both",0,0,1.24056881847401,-1.13242865357158
"Celithemis_amanda",0,"p","open",0,0,0.930271447936512,1.17573955249647
"Celithemis_bertha",0,"p","open",0,0,1.13423282886893,0.695271396459644
"Celithemis_elisa",0,"p","open",0,0,-0.312293076953706,0.556827671883803
"Celithemis_eponina",0,"p","open",0,0,0.03135800799602,0.336035890804779
"Celithemis_ornata",0,"p","open",0,0,0.976598833048648,1.04903539505349
"Cordulegaster_bilineata",0,"f","both",0,0,-0.155523910361057,1.00770733458834
"Cordulegaster_diadema",0,"f","forest",0,0,-0.00774400958105509,-1.44736359294145
"Cordulegaster_diastatops",0,"f","both",0,0,-1.14476339115704,0.63802681565209
"Cordulegaster_dorsalis",0,"f","both",0,0,-0.48186963664146,-1.21193803392419
"Cordulegaster_erronea",0,"f","forest",0,0,-0.351257023588691,1.03621803707835
"Cordulegaster_maculata",0,"f","forest",0,0,-0.884798209142351,0.579749138746318
"Cordulegaster_obliqua",0,"f","forest",0,0,-0.38154798948252,0.757799217468094
