"FID","Ztemp","Zprecip","Pruinosity","Persistence","Family","Genus","Species","Genus_species","z.hist.temp","z.hist.precip"
470,0.856531695,0.044279168,"n",1,"Libellulidae","Sympetrum","Sympetrum corruptum","Sympetrum_corruptum",2.45352771048964,-1.17446505922267
470,0.856531695,0.044279168,"n",1,"Aeshnidae","Anax","Anax junius","Anax_junius",2.45352771048964,-1.17446505922267
470,0.856531695,0.044279168,"n",1,"Libellulidae","Pantala","Pantala flavescens","Pantala_flavescens",2.45352771048964,-1.17446505922267
470,0.856531695,0.044279168,"y",1,"Libellulidae","Pachydiplax","Pachydiplax longipennis","Pachydiplax_longipennis",2.45352771048964,-1.17446505922267
471,0.660308008,-0.19792669,"n",1,"Aeshnidae","Anax","Anax junius","Anax_junius",2.27094669097255,-0.796762192683504
471,0.660308008,-0.19792669,"y",1,"Libellulidae","Pachydiplax","Pachydiplax longipennis","Pachydiplax_longipennis",2.27094669097255,-0.796762192683504
471,0.660308008,-0.19792669,"y",1,"Libellulidae","Erythemis","Erythemis simplicicollis","Erythemis_simplicicollis",2.27094669097255,-0.796762192683504
487,-0.64728751,0.515858902,"n",1,"Libellulidae","Perithemis","Perithemis tenera","Perithemis_tenera",2.29758666558856,1.26656904169449
487,-0.64728751,0.515858902,"y",1,"Libellulidae","Pachydiplax","Pachydiplax longipennis","Pachydiplax_longipennis",2.29758666558856,1.26656904169449
487,-0.64728751,0.515858902,"y",1,"Libellulidae","Erythemis","Erythemis simplicicollis","Erythemis_simplicicollis",2.29758666558856,1.26656904169449
487,-0.64728751,0.515858902,"n",1,"Libellulidae","Celithemis","Celithemis eponina","Celithemis_eponina",2.29758666558856,1.26656904169449
571,1.073347299,-0.360812166,"y",1,"Libellulidae","Pachydiplax","Pachydiplax longipennis","Pachydiplax_longipennis",2.32067525118345,-1.09653282886085
587,-0.575119138,1.099472199,"y",1,"Libellulidae","Libellula","Libellula incesta","Libellula_incesta",2.33409353857862,1.40295662188761
587,-0.575119138,1.099472199,"y",1,"Libellulidae","Erythemis","Erythemis simplicicollis","Erythemis_simplicicollis",2.33409353857862,1.40295662188761
587,-0.575119138,1.099472199,"y",1,"Libellulidae","Pachydiplax","Pachydiplax longipennis","Pachydiplax_longipennis",2.33409353857862,1.40295662188761
587,-0.575119138,1.099472199,"n",1,"Aeshnidae","Anax","Anax junius","Anax_junius",2.33409353857862,1.40295662188761
587,-0.575119138,1.099472199,"n",1,"Libellulidae","Perithemis","Perithemis tenera","Perithemis_tenera",2.33409353857862,1.40295662188761
587,-0.575119138,1.099472199,"n",1,"Libellulidae","Celithemis","Celithemis eponina","Celithemis_eponina",2.33409353857862,1.40295662188761
588,-0.498170396,0.614210582,"n",1,"Libellulidae","Celithemis","Celithemis eponina","Celithemis_eponina",2.3053636563699,1.81839101762085
588,-0.498170396,0.614210582,"n",1,"Aeshnidae","Anax","Anax junius","Anax_junius",2.3053636563699,1.81839101762085
588,-0.498170396,0.614210582,"y",1,"Libellulidae","Erythemis","Erythemis simplicicollis","Erythemis_simplicicollis",2.3053636563699,1.81839101762085
588,-0.498170396,0.614210582,"y",1,"Libellulidae","Pachydiplax","Pachydiplax longipennis","Pachydiplax_longipennis",2.3053636563699,1.81839101762085
588,-0.498170396,0.614210582,"n",1,"Libellulidae","Perithemis","Perithemis tenera","Perithemis_tenera",2.3053636563699,1.81839101762085
588,-0.498170396,0.614210582,"n",0,"Libellulidae","Celithemis","Celithemis elisa","Celithemis_elisa",2.3053636563699,1.81839101762085
588,-0.498170396,0.614210582,"n",1,"Libellulidae","Pantala","Pantala flavescens","Pantala_flavescens",2.3053636563699,1.81839101762085
673,2.140242932,-0.695805414,"n",1,"Aeshnidae","Anax","Anax junius","Anax_junius",2.09982490104282,-0.508468246579179
673,2.140242932,-0.695805414,"n",1,"Libellulidae","Celithemis","Celithemis eponina","Celithemis_eponina",2.09982490104282,-0.508468246579179
673,2.140242932,-0.695805414,"y",1,"Libellulidae","Libellula","Libellula luctuosa","Libellula_luctuosa",2.09982490104282,-0.508468246579179
687,-1.004743271,1.343704971,"n",1,"Libellulidae","Perithemis","Perithemis tenera","Perithemis_tenera",2.37288084339216,1.20980649359327
687,-1.004743271,1.343704971,"n",1,"Libellulidae","Pantala","Pantala flavescens","Pantala_flavescens",2.37288084339216,1.20980649359327
687,-1.004743271,1.343704971,"y",1,"Libellulidae","Pachydiplax","Pachydiplax longipennis","Pachydiplax_longipennis",2.37288084339216,1.20980649359327
687,-1.004743271,1.343704971,"n",1,"Aeshnidae","Anax","Anax junius","Anax_junius",2.37288084339216,1.20980649359327
687,-1.004743271,1.343704971,"y",1,"Libellulidae","Erythemis","Erythemis simplicicollis","Erythemis_simplicicollis",2.37288084339216,1.20980649359327
687,-1.004743271,1.343704971,"n",1,"Libellulidae","Celithemis","Celithemis eponina","Celithemis_eponina",2.37288084339216,1.20980649359327
688,-0.680427901,1.198239063,"y",1,"Libellulidae","Libellula","Libellula incesta","Libellula_incesta",2.40055568139822,1.37335428314708
688,-0.680427901,1.198239063,"n",1,"Aeshnidae","Anax","Anax junius","Anax_junius",2.40055568139822,1.37335428314708
688,-0.680427901,1.198239063,"n",1,"Libellulidae","Celithemis","Celithemis eponina","Celithemis_eponina",2.40055568139822,1.37335428314708
688,-0.680427901,1.198239063,"y",1,"Libellulidae","Erythemis","Erythemis simplicicollis","Erythemis_simplicicollis",2.40055568139822,1.37335428314708
688,-0.680427901,1.198239063,"y",1,"Libellulidae","Pachydiplax","Pachydiplax longipennis","Pachydiplax_longipennis",2.40055568139822,1.37335428314708
689,-0.627761803,0.769181001,"n",1,"Libellulidae","Celithemis","Celithemis eponina","Celithemis_eponina",2.32822309209273,1.61359490471522
689,-0.627761803,0.769181001,"n",1,"Libellulidae","Perithemis","Perithemis tenera","Perithemis_tenera",2.32822309209273,1.61359490471522
689,-0.627761803,0.769181001,"y",1,"Libellulidae","Erythemis","Erythemis simplicicollis","Erythemis_simplicicollis",2.32822309209273,1.61359490471522
689,-0.627761803,0.769181001,"n",1,"Aeshnidae","Anax","Anax junius","Anax_junius",2.32822309209273,1.61359490471522
689,-0.627761803,0.769181001,"y",1,"Libellulidae","Pachydiplax","Pachydiplax longipennis","Pachydiplax_longipennis",2.32822309209273,1.61359490471522
788,-0.52916665,1.086067562,"y",1,"Libellulidae","Erythemis","Erythemis simplicicollis","Erythemis_simplicicollis",2.23096719922989,0.951745736432944
789,-0.41954618,1.018336351,"n",1,"Libellulidae","Pantala","Pantala flavescens","Pantala_flavescens",2.32360385598786,1.12095070732864
789,-0.41954618,1.018336351,"n",1,"Aeshnidae","Anax","Anax junius","Anax_junius",2.32360385598786,1.12095070732864
789,-0.41954618,1.018336351,"n",0,"Corduliidae","Epitheca","Epitheca cynosura","Epitheca_cynosura",2.32360385598786,1.12095070732864
789,-0.41954618,1.018336351,"y",1,"Libellulidae","Pachydiplax","Pachydiplax longipennis","Pachydiplax_longipennis",2.32360385598786,1.12095070732864
789,-0.41954618,1.018336351,"y",1,"Libellulidae","Erythemis","Erythemis simplicicollis","Erythemis_simplicicollis",2.32360385598786,1.12095070732864
790,-0.248097235,0.168640427,"n",1,"Corduliidae","Epitheca","Epitheca princeps","Epitheca_princeps",2.20627955548416,1.18929294438615
869,2.056598155,-0.823669607,"n",1,"Libellulidae","Sympetrum","Sympetrum corruptum","Sympetrum_corruptum",2.21541951060876,-1.84508109165842
869,2.056598155,-0.823669607,"n",1,"Libellulidae","Libellula","Libellula saturata","Libellula_saturata",2.21541951060876,-1.84508109165842
872,1.487218469,-0.82469343,"y",1,"Libellulidae","Erythemis","Erythemis simplicicollis","Erythemis_simplicicollis",1.99600395114438,-1.23140552101556
873,1.960773977,-1.003076257,"n",1,"Gomphidae","Dromogomphus","Dromogomphus spinosus","Dromogomphus_spinosus",1.92878166438362,-0.995318936347414
873,1.960773977,-1.003076257,"n",1,"Gomphidae","Hagenius","Hagenius brevistylus","Hagenius_brevistylus",1.92878166438362,-0.995318936347414
874,2.304796661,-1.184780385,"n",1,"Gomphidae","Dromogomphus","Dromogomphus spinosus","Dromogomphus_spinosus",1.82452845449924,-0.532937233026428
874,2.304796661,-1.184780385,"n",1,"Libellulidae","Celithemis","Celithemis eponina","Celithemis_eponina",1.82452845449924,-0.532937233026428
874,2.304796661,-1.184780385,"n",1,"Libellulidae","Sympetrum","Sympetrum vicinum","Sympetrum_vicinum",1.82452845449924,-0.532937233026428
874,2.304796661,-1.184780385,"y",1,"Libellulidae","Libellula","Libellula luctuosa","Libellula_luctuosa",1.82452845449924,-0.532937233026428
875,2.086258718,-0.999013176,"y",1,"Libellulidae","Erythemis","Erythemis simplicicollis","Erythemis_simplicicollis",1.9175190349706,0.143843217929493
875,2.086258718,-0.999013176,"y",1,"Libellulidae","Libellula","Libellula incesta","Libellula_incesta",1.9175190349706,0.143843217929493
875,2.086258718,-0.999013176,"n",1,"Libellulidae","Perithemis","Perithemis tenera","Perithemis_tenera",1.9175190349706,0.143843217929493
875,2.086258718,-0.999013176,"y",1,"Libellulidae","Pachydiplax","Pachydiplax longipennis","Pachydiplax_longipennis",1.9175190349706,0.143843217929493
876,1.817474153,-1.091545082,"y",1,"Libellulidae","Libellula","Libellula luctuosa","Libellula_luctuosa",1.75313915543417,0.622873821633413
876,1.817474153,-1.091545082,"n",1,"Libellulidae","Perithemis","Perithemis tenera","Perithemis_tenera",1.75313915543417,0.622873821633413
876,1.817474153,-1.091545082,"y",1,"Libellulidae","Plathemis","Plathemis lydia","Plathemis_lydia",1.75313915543417,0.622873821633413
876,1.817474153,-1.091545082,"y",0,"Libellulidae","Libellula","Libellula pulchella","Libellula_pulchella",1.75313915543417,0.622873821633413
889,0.048233046,0.859802169,"y",1,"Libellulidae","Pachydiplax","Pachydiplax longipennis","Pachydiplax_longipennis",2.18450120372218,1.16253377705109
889,0.048233046,0.859802169,"n",1,"Aeshnidae","Anax","Anax junius","Anax_junius",2.18450120372218,1.16253377705109
890,-0.006231549,0.683842078,"n",0,"Gomphidae","Dromogomphus","Dromogomphus spinosus","Dromogomphus_spinosus",2.17650135601032,1.0079153586057
890,-0.006231549,0.683842078,"n",1,"Gomphidae","Hagenius","Hagenius brevistylus","Hagenius_brevistylus",2.17650135601032,1.0079153586057
890,-0.006231549,0.683842078,"n",1,"Libellulidae","Celithemis","Celithemis eponina","Celithemis_eponina",2.17650135601032,1.0079153586057
890,-0.006231549,0.683842078,"n",1,"Libellulidae","Perithemis","Perithemis tenera","Perithemis_tenera",2.17650135601032,1.0079153586057
890,-0.006231549,0.683842078,"y",1,"Libellulidae","Libellula","Libellula incesta","Libellula_incesta",2.17650135601032,1.0079153586057
890,-0.006231549,0.683842078,"n",1,"Corduliidae","Epitheca","Epitheca princeps","Epitheca_princeps",2.17650135601032,1.0079153586057
890,-0.006231549,0.683842078,"y",1,"Libellulidae","Erythemis","Erythemis simplicicollis","Erythemis_simplicicollis",2.17650135601032,1.0079153586057
890,-0.006231549,0.683842078,"n",0,"Libellulidae","Pantala","Pantala hymenaea","Pantala_hymenaea",2.17650135601032,1.0079153586057
890,-0.006231549,0.683842078,"n",1,"Aeshnidae","Anax","Anax junius","Anax_junius",2.17650135601032,1.0079153586057
890,-0.006231549,0.683842078,"n",1,"Libellulidae","Pantala","Pantala flavescens","Pantala_flavescens",2.17650135601032,1.0079153586057
890,-0.006231549,0.683842078,"n",0,"Aeshnidae","Boyeria","Boyeria vinosa","Boyeria_vinosa",2.17650135601032,1.0079153586057
890,-0.006231549,0.683842078,"y",1,"Libellulidae","Pachydiplax","Pachydiplax longipennis","Pachydiplax_longipennis",2.17650135601032,1.0079153586057
890,-0.006231549,0.683842078,"n",1,"Corduliidae","Macromia","Macromia illinoiensis","Macromia_illinoiensis",2.17650135601032,1.0079153586057
891,-0.093051523,-0.017667738,"n",0,"Aeshnidae","Anax","Anax junius","Anax_junius",1.93338137066986,1.03484694492214
972,1.987757297,-0.798283061,"n",1,"Aeshnidae","Anax","Anax junius","Anax_junius",1.8826695925893,-1.50360377273344
972,1.987757297,-0.798283061,"y",1,"Libellulidae","Erythemis","Erythemis simplicicollis","Erythemis_simplicicollis",1.8826695925893,-1.50360377273344
974,2.495941204,-0.972327103,"y",1,"Libellulidae","Erythemis","Erythemis simplicicollis","Erythemis_simplicicollis",1.60183014951907,-0.77732223086011
974,2.495941204,-0.972327103,"n",1,"Libellulidae","Perithemis","Perithemis tenera","Perithemis_tenera",1.60183014951907,-0.77732223086011
974,2.495941204,-0.972327103,"y",1,"Libellulidae","Plathemis","Plathemis lydia","Plathemis_lydia",1.60183014951907,-0.77732223086011
974,2.495941204,-0.972327103,"y",1,"Libellulidae","Libellula","Libellula luctuosa","Libellula_luctuosa",1.60183014951907,-0.77732223086011
975,2.332980932,-0.978614152,"y",1,"Libellulidae","Erythemis","Erythemis simplicicollis","Erythemis_simplicicollis",1.59994313504225,-0.371796593454857
975,2.332980932,-0.978614152,"y",1,"Libellulidae","Libellula","Libellula pulchella","Libellula_pulchella",1.59994313504225,-0.371796593454857
975,2.332980932,-0.978614152,"n",1,"Libellulidae","Sympetrum","Sympetrum corruptum","Sympetrum_corruptum",1.59994313504225,-0.371796593454857
975,2.332980932,-0.978614152,"n",1,"Aeshnidae","Anax","Anax junius","Anax_junius",1.59994313504225,-0.371796593454857
975,2.332980932,-0.978614152,"n",1,"Libellulidae","Pantala","Pantala flavescens","Pantala_flavescens",1.59994313504225,-0.371796593454857
975,2.332980932,-0.978614152,"n",1,"Libellulidae","Celithemis","Celithemis eponina","Celithemis_eponina",1.59994313504225,-0.371796593454857
975,2.332980932,-0.978614152,"y",1,"Libellulidae","Libellula","Libellula luctuosa","Libellula_luctuosa",1.59994313504225,-0.371796593454857
976,1.752845411,-0.81081792,"y",1,"Libellulidae","Libellula","Libellula luctuosa","Libellula_luctuosa",1.73340492469008,-0.0153618830040236
